id,Lemma,POS,PL_full,PL,EN,PL_sentence,EN_sentence,media
1,zwierzę,NOUN,zwierzę,zwierzę,animal,Moje ulubione <b>zwierzę</b> to pies.,My favorite <b>animal</b> is a dog.,pronunciation_pl_zwierzę.mp3
2,koń,NOUN,koń,koń,horse,Jeździec wsiadł na <b>konia</b> i ruszył galopem.,The rider got on the <b>horse</b> and started galloping.,pronunciation_pl_koń.mp3
3,kura,NOUN,kura,kura,"hen, chicken",<b>Kura</b> zniosła dziś rano świeże jajko.,The <b>hen</b> laid a fresh egg this morning.,
4,pies,NOUN,pies,pies,dog,Mój <b>pies</b> głośno szczeka na listonosza.,My <b>dog</b> barks loudly at the mailman.,
5,kot,NOUN,kot,kot,cat,Czarny <b>kot</b> przebiegł mi przez drogę.,A black <b>cat</b> crossed my path.,
6,królik,NOUN,królik,królik,"rabbit, bunny",Mój <b>królik</b> uwielbia jeść świeżą marchewkę.,My <b>rabbit</b> loves eating fresh carrots.,
7,żółw,NOUN,żółw,żółw,"turtle, tortoise",<b>Żółw</b> porusza się bardzo powoli po trawie.,The <b>turtle</b> moves very slowly across the grass.,
8,dzik,NOUN,dzik,dzik,"wild boar, boar",W lesie musisz uważać na <b>dziki</b>.,"In the forest, you have to watch out for <b>wild boars</b>.",
9,bocian,NOUN,bocian,bocian,stork,<b>Bocian</b> zbudował gniazdo na dachu naszego domu.,A <b>stork</b> built a nest on the roof of our house.,
10,foka,NOUN,foka,foka,seal,<b>Foka</b> wylegiwała się na słońcu na brzegu morza.,The <b>seal</b> was basking in the sun on the seashore.,
11,goryl,NOUN,goryl,goryl,gorilla,Samiec <b>goryla</b> potrafi być bardzo opiekuńczy.,The male <b>gorilla</b> can be very protective.,
12,indyk,NOUN,indyk,indyk,turkey,Pieczony <b>indyk</b> jest popularnym daniem świątecznym.,Roast <b>turkey</b> is a popular holiday dish.,
13,owca,NOUN,owca,owca,sheep,Na hali pasie się całe stado <b>owiec</b>.,A whole flock of <b>sheep</b> is grazing in the mountain pasture.,
14,ćma,NOUN,ćma,ćma,moth,Nocna <b>ćma</b> uderzała skrzydłami o szybę okna.,A nocturnal <b>moth</b> was hitting its wings against the window pane.,
15,hiena,NOUN,hiena,hiena,hyena,W oddali słychać było charakterystyczny śmiech <b>hieny</b>.,The characteristic laugh of a <b>hyena</b> could be heard in the distance.,
16,gęś,NOUN,gęś,gęś,goose,Biała <b>gęś</b> dumnie spacerowała po podwórku.,A white <b>goose</b> walked proudly around the yard.,
17,nietoperz,NOUN,nietoperz,nietoperz,bat,<b>Nietoperz</b> wyleciał z jaskini tuż po zachodzie słońca.,The <b>bat</b> flew out of the cave just after sunset.,
18,wieloryb,NOUN,wieloryb,wieloryb,whale,Błękitny <b>wieloryb</b> to największe zwierzę na świecie.,The blue <b>whale</b> is the largest animal in the world.,
19,krowa,NOUN,krowa,krowa,cow,Na łące pasła się łaciata <b>krowa</b>.,A spotted <b>cow</b> was grazing in the meadow.,
20,byk,NOUN,byk,byk,bull,Rozjuszony <b>byk</b> zaczął biec w stronę torreadora.,The infuriated <b>bull</b> started running towards the bullfighter.,
21,delfin,NOUN,delfin,delfin,dolphin,Widzieliśmy <b>delfina</b> w oceanie.,We saw a <b>dolphin</b> in the ocean.,
22,ośmiornica,NOUN,ośmiornica,ośmiornica,octopus,<b>Ośmiornica</b> ma osiem ramion.,The <b>octopus</b> has eight arms.,
